word	year	freq
predonance	1500	0
predonance	1550	0
predonance	1600	0
predonance	1650	1
predonance	1700	0
predonance	1750	0
dancing	1500	0
dancing	1550	0
dancing	1600	0
dancing	1650	2
dancing	1700	0
dancing	1750	0
inventresse	1500	0
inventresse	1550	0
inventresse	1600	0
inventresse	1650	1
inventresse	1700	0
inventresse	1750	0
harmonia	1500	0
harmonia	1550	0
harmonia	1600	0
harmonia	1650	1
harmonia	1700	0
harmonia	1750	0
coelestiall	1500	0
coelestiall	1550	0
coelestiall	1600	0
coelestiall	1650	1
coelestiall	1700	0
coelestiall	1750	0
